order_id,settlement_date,amount,reference_note,fee,status
ORD-00386,2026-08-13,203356.72,REF-TXN1237,0.0,Settled
ORD-00387,2026-08-24,282108.8,REF-TXN1226,0.0,Settled
ORD-00388,2026-08-25,172919.26,REF-TXN1293,0.0,Settled
ORD-00389,2026-08-20,197272.06,REF-TXN1348,3350.39,Settled
ORD-00390,2026-08-02,269727.93,REF-TXN1189,0.0,Settled
ORD-00391,2026-08-21,18132.69,REF-TXN1100,0.0,Settled
ORD-00392,2026-08-07,129251.5,REF-TXN1241,0.0,Settled
ORD-00393,2026-08-08,150936.2,REF-TXN1445,0.0,Settled
ORD-00394,2026-08-01,290714.38,REF-TXN1123,0.0,Settled
ORD-00395,2026-08-06,223224.8,REF-TXN1274,0.0,Settled
ORD-00396,2026-08-03,133217.66,REF-TXN1120,0.0,Settled
ORD-00397,2026-08-20,94517.74,REF-TXN1230,0.0,Settled
ORD-00398,2026-08-07,78836.28,REF-TXN1384,925.23,Settled
ORD-00399,2026-08-01,119927.16,REF-TXN1386,2923.85,Settled
ORD-00400,2026-08-20,12402.63,REF-TXN1146,0.0,Settled
ORD-00401,2026-08-11,228488.3,REF-TXN1313,0.0,Settled
ORD-00402,2026-08-12,129673.57,REF-TXN1228,0.0,Settled
ORD-00403,2026-08-21,299785.1,REF-TXN1122,0.0,Settled
ORD-00404,2026-08-02,162258.09,REF-TXN1369,3972.92,Settled
ORD-00405,2026-08-15,72117.83,REF-TXN1347,1419.27,Settled
ORD-00406,2026-08-02,92823.38,REF-TXN1187,0.0,Settled
ORD-00407,2026-08-25,84097.94,REF-TXN1211,0.0,Settled
ORD-00408,2026-08-10,248906.7,REF-TXN1023,0.0,Settled
ORD-00409,2026-08-26,161766.37,REF-TXN1225,0.0,Settled
ORD-00410,2026-08-05,186734.26,REF-TXN1370,4807.7,Settled
ORD-00411,2026-08-18,229867.41,REF-TXN1085,0.0,Settled
ORD-00412,2026-08-21,12557.31,REF-TXN1320,0.0,Settled
ORD-00413,2026-08-08,115384.01,REF-TXN1429,0.0,Settled
ORD-00414,2026-08-16,190107.75,REF-TXN1355,3840.17,Settled
ORD-00415,2026-08-06,148850.93,REF-TXN1444,0.0,Settled
ORD-00416,2026-08-03,293406.36,REF-TXN1084,0.0,Settled
ORD-00417,2026-08-12,263677.2,REF-TXN1079,0.0,Settled
ORD-00418,2026-08-07,39248.16,REF-TXN1497,833.7,Settled
ORD-00419,2026-08-20,160470.03,REF-TXN1306,0.0,Settled
ORD-00420,2026-08-24,262817.96,REF-TXN1068,0.0,Settled
ORD-00421,2026-08-24,162056.0,REF-TXN1317,0.0,Settled
ORD-00422,2026-08-04,95793.81,REF-TXN1441,0.0,Settled
ORD-00423,2026-08-21,255947.39,REF-TXN1173,0.0,Settled
ORD-00424,2026-08-21,99925.87,REF-TXN1339,2772.87,Settled
ORD-00425,2026-08-26,13513.41,REF-TXN1020,0.0,Settled
ORD-00426,2026-08-13,188226.35,REF-TXN1454,0.0,Settled
ORD-00427,2026-08-10,189532.72,REF-TXN1456,0.0,Settled
ORD-00428,2026-08-21,83554.75,REF-TXN1277,0.0,Settled
ORD-00429,2026-08-19,271200.89,REF-TXN1395,5196.27,Settled
ORD-00430,2026-08-21,206442.91,REF-TXN1260,0.0,Settled
ORD-00431,2026-08-14,269397.95,REF-TXN1052,0.0,Settled
ORD-00432,2026-08-17,190090.84,REF-TXN1404,5536.25,Settled
ORD-00433,2026-08-11,246254.57,REF-TXN1433,0.0,Settled
ORD-00434,2026-08-13,39698.05,REF-TXN1152,0.0,Settled
ORD-00435,2026-08-08,205541.97,REF-TXN1040,0.0,Settled
ORD-00436,2026-08-26,92600.48,REF-TXN1080,0.0,Settled
ORD-00437,2026-08-04,261220.31,REF-TXN1071,0.0,Settled
ORD-00438,2026-08-04,74972.57,REF-TXN1116,0.0,Settled
ORD-00439,2026-08-01,21762.43,REF-TXN1099,0.0,Settled
ORD-00440,2026-08-20,100888.88,REF-TXN1249,0.0,Settled
ORD-00441,2026-08-09,245247.96,REF-TXN1393,2828.07,Settled
ORD-00442,2026-08-02,28143.39,REF-TXN1175,0.0,Settled
ORD-00443,2026-08-14,106612.12,REF-TXN1110,0.0,Settled
ORD-00444,2026-08-22,195138.48,REF-TXN1093,0.0,Settled
ORD-00445,2026-08-08,149551.34,REF-TXN1476,0.0,Settled
ORD-00446,2026-08-19,108392.76,REF-TXN1495,1383.18,Settled
ORD-00447,2026-08-21,210546.83,REF-TXN1010,0.0,Settled
ORD-00448,2026-08-05,129221.12,REF-TXN1186,0.0,Settled
ORD-00449,2026-08-25,258201.95,REF-TXN1261,0.0,Settled
ORD-00450,2026-08-09,11958.03,REF-TXN1217,0.0,Settled
ORD-00451,2026-08-04,69333.39,REF-TXN1459,0.0,Settled
ORD-00452,2026-08-10,32875.58,REF-TXN1331,0.0,Settled
ORD-00453,2026-08-21,137926.13,REF-TXN1048,0.0,Settled
ORD-00454,2026-08-25,267482.06,REF-TXN1270,0.0,Settled
ORD-00455,2026-08-09,257816.09,REF-TXN1351,6339.74,Settled
ORD-00456,2026-08-26,180980.53,REF-TXN1379,4735.77,Settled
ORD-00457,2026-08-23,249726.88,REF-TXN1425,0.0,Settled
ORD-00458,2026-08-11,103845.19,REF-TXN1360,2022.06,Settled
ORD-00459,2026-08-18,228017.76,REF-TXN1344,4487.35,Settled
ORD-00460,2026-08-04,88403.29,REF-TXN1066,0.0,Settled
ORD-00461,2026-08-22,132891.27,REF-TXN1417,0.0,Settled
ORD-00462,2026-08-04,222853.8,REF-TXN1169,0.0,Settled
ORD-00463,2026-08-16,285091.84,REF-TXN1406,5640.2,Settled
ORD-00464,2026-08-25,245880.7,REF-TXN1330,0.0,Settled
ORD-00465,2026-08-14,292164.19,REF-TXN1193,0.0,Settled
ORD-00466,2026-08-14,99598.98,REF-TXN1287,0.0,Settled
ORD-00467,2026-08-03,53119.23,REF-TXN1474-B,0.0,Settled
ORD-00468,2026-08-09,20323.49,REF-TXN1044,0.0,Settled
ORD-00469,2026-08-25,204344.57,REF-TXN1363,2859.41,Settled
ORD-00470,2026-08-15,275902.72,REF-TXN1305,0.0,Settled
ORD-00471,2026-08-06,136390.25,REF-TXN1067,0.0,Settled
ORD-00472,2026-08-24,243319.42,REF-TXN1201,0.0,Settled
ORD-00473,2026-08-26,103613.47,REF-TXN1490,2406.66,Settled
ORD-00474,2026-08-19,108679.06,REF-TXN1358,2342.56,Settled
ORD-00475,2026-08-22,178087.27,REF-TXN1336,2236.01,Settled
ORD-00476,2026-08-05,280011.18,REF-TXN1159,0.0,Settled
ORD-00477,2026-08-15,165728.29,REF-TXN1180,0.0,Settled
ORD-00478,2026-08-15,76970.35,REF-TXN1407,0.0,Settled
ORD-00479,2026-08-17,182886.58,REF-TXN1073,0.0,Settled
ORD-00480,2026-08-16,31171.31,REF-TXN1340,937.58,Settled
ORD-00481,2026-08-20,269394.5,REF-TXN1299,0.0,Settled
ORD-00482,2026-08-08,246629.88,REF-TXN1042,0.0,Settled
ORD-00483,2026-08-20,63583.58,REF-TXN1171,0.0,Settled
ORD-00484,2026-08-01,179883.9,REF-TXN1077,0.0,Settled
ORD-00485,2026-08-03,216871.93,REF-TXN1448,0.0,Settled
ORD-00486,2026-08-21,128869.52,REF-TXN1309,0.0,Settled
ORD-00487,2026-08-06,24151.02,REF-TXN1456,0.0,Settled
ORD-00488,2026-08-19,230929.49,REF-TXN1337,3969.8,Settled
ORD-00489,2026-08-15,100065.77,REF-TXN1437,0.0,Settled
ORD-00490,2026-08-04,256249.15,REF-TXN1371,5630.41,Settled
